problem,solution
🍎 + 🍎 + 🍎 = 12,🍎 = 4
🚗 + 🚗 + 🚗 + 🚗 = 20,🚗 = 5
🎸 ÷ 4 = 5,🎸 = 20
⚽ ÷ 3 = 6,⚽ = 18
🐶 + 🐶 = 10,🐶 = 5
🍕 + 🍕 + 🍕 = 18,🍕 = 6
🐼 + 🐼 + 🐼 + 🐼 = 24,🐼 = 6
🍓 + 🍓 + 🍓 = 18,🍓 = 6
🚙 + 🚙 + 🚙 = 27,🚙 = 9
🐨 + 🐨 + 🐨 = 18,🐨 = 6
🍒 + 🍒 + 🍒 + 🍒 = 20,🍒 = 5
🚁 + 🚁 = 16,🚁 = 8
🐝 + 🐝 + 🐝 = 21,🐝 = 7
🍌 + 🍌 + 🍌 = 18,🍌 = 6
🚤 + 🚤 = 14,🚤 = 7
🐒 + 🐒 + 🐒 + 🐒 = 24,🐒 = 6
🍎 × 🍎 = 16,🍎 = 4
🚗 - 🚗 = 0,🚗 = any number
🐶 × 2 = 10,🐶 = 5
🍕 ÷ 2 = 3,🍕 = 6
🎈 × 🎈 = 25,🎈 = 5
🍊 - 🍊 = 0,🍊 = any number
🐢 - 🐢 - 🐢 = -6,🐢 = 2
🚴‍♂️ - 🚴‍♂️ - 🚴‍♂️ - 🚴‍♂️ = -12,🚴‍♂️ = 3
🐘 + 🐘 + 🐘 + 🐘 = 28,🐘 = 7
🍇 + 🍇 + 🍇 = 15,🍇 = 5
🐦 + 🐦 + 🐦 + 🐦 = 24,🐦 = 6
🐸 ÷ 3 = 7,🐸 = 21
🎃 ÷ 2 = 9,🎃 = 18
🎈 + 🎈 + 🎈 + 🎈 + 🎈 = 25,🎈 = 5
🍦 + 🍦 = 8,🍦 = 4
🍔 + 🍔 + 🍔 = 18,🍔 = 6
🚕 + 🚕 + 🚕 = 27,🚕 = 9
🐠 + 🐠 + 🐠 + 🐠 + 🐠 = 25,🐠 = 5
🍰 + 🍰 + 🍰 = 21,🍰 = 7
🚚 + 🚚 = 18,🚚 = 9
🏀 ÷ 5 = 4,🏀 = 20
🍔 ÷ 6 = 3,🍔 = 18
🦁 - 🦁 - 🦁 = -9,🦁 = 3
🐇 - 🐇 - 🐇 - 🐇 - 🐇 = -10,🐇 = 2
🍍 - 🍍 = 0,🍍 = any number
🐯 - 2 × 🐯 = -5,🐯 = 5
🐎 - 3 × 🐎 = -6,🐎 = 3
🍉 ÷ 2 = 4,🍉 = 8
🦄 ÷ 5 = 3,🦄 = 15
🚢 ÷ 4 = 6,🚢 = 24
🐱 + 🐱 + 🐱 = 15,🐱 = 5
🚲 + 🚲 = 14,🚲 = 7
🍩 + 🍩 + 🍩 + 🍩 = 24,🍩 = 6
🐧 + 🐧 + 🐧 = 21,🐧 = 7
🍫 + 🍫 + 🍫 + 🍫 + 🍫 = 30,🍫 = 6
🚀 + 🚀 = 16,🚀 = 8
🏎️ ÷ 2 = 10,🏎️ = 20
